company,websites,sales_platforms,shipped_from,prior_reported_varieties,prior_manual_notes,source_sheets
Bloomora Roses,https://www.facebook.com/profile.php?id=61591662794131,Facebook,"Woodinville, WA (local pickup; limited USA shipping, by request)",,"Added 2026-09-15 per user report. Facebook page named 'Bloomora Roses' (profile.php?id=61591662794131). Advertises 'Exclusive Rose Plants for sale.' No specific rose variety names identified yet -- columns E-J left blank pending identification, not marked '-' (which would imply confirmed absence). Facebook could not be accessed directly this session (blocked by network egress policy, connect_rejected at the CONNECT stage -- request never reached Facebook's servers). No separate website, Etsy, or Instagram presence found via search as of 2026-09-15.",Sheet1
Ergonzy / Ergonzi,https://ergongzy.com/; https://www.etsy.com/shop/Ergongzi,Etsy; Shop,"Austin, Texas","Admiral® Rose; Modern Art ®; Piano®
Tantau; Pink O'Hara™; Sophie Rochas ®
Delbard; Sophie Rochas ®’",,Sheet1; Etsy
Flower Meadow Dream,https://www.myroseworld.com/,,"Los Angeles, California","Admiral® Rose; Modern Art ®; Sophie Rochas ®
Delbard",,Sheet1
GCM Ranch,https://www.etsy.com/shop/GcmRanch,Etsy,"Corsicana, TX","Admiral® Rose; Sophie Rochas ®
Delbard; Sophie Rochas ®’","7/17 update - Etsy shop closed, points to KisakiPlant.com - see below",Sheet1; Etsy
High Garden,https://highgardenroses.com/,Shop,"Portland, Oregon","Admiral® Rose; Charming Piano®
Tantau; Pink O'Hara™; Sophie Rochas ®
Delbard",,Sheet1
Hillside Rose Farm,https://www.hillsiderosefarm.com/,Shop,California,"Admiral® Rose; Modern Art ®; Sophie Rochas ®
Delbard",,Sheet1
Huniu Rose Garden,https://huniurosegarden.ca/,Shopify,Canada (not shipped to U.S.),"Charming Piano®
Tantau; Piano®
Tantau; Sophie Rochas ®
Delbard",,Sheet1
Jessie's Roses,https://www.jessiesrose.com/; https://www.etsy.com/shop/JessiesRoseUSA,Etsy,,,no products on website or Etsy,Sheet1
Kate Roses,https://www.kateroses.com/,,California,"Sophie Rochas ®
Delbard",,Sheet1
Kisaki Plant,https://kisakiplant.com/,Shopify,"Kerens, TX","Sophie Rochas ®
Delbard",,Sheet1
Mola Rose,https://molarose.com/,,,,"Added 2026-09-22 per explicit user instruction (user-supplied URL). Columns E-J left BLANK, not '-': the catalog has not been checked even once. molarose.com and www.molarose.com are both refused by this session's network egress proxy at the CONNECT stage (gateway answered 403 to CONNECT, organization egress policy) -- the request never reached the seller's server, so nothing about this site is known first-hand yet: not its platform, not its catalog, not whether it sells rose plants or cut flowers, not its location or host. No attempt was made to route around the block. The same condition applied to Redland Ranch Roses until the domain was allowlisted in the environment on 2026-09-16; this one is on the roster and will be attempted every morning, reported as a coverage gap until it answers.",Sheet1
Muse Roses,https://museroses.com/,,"Buda, Texas","Piano®
Tantau; Pink O'Hara™; Sophie Rochas ®
Delbard",office address in TX is a home address,Sheet1
One Love,https://oneloveroseandgardens.com/,,,,,Sheet1
Redland Ranch Roses,https://redlandranchroses.com/,Shopify,"Not stated on site -- estimated Redland area, Miami-Dade County, Florida (Estimated)",,"Added 2026-09-16 per explicit user instruction after a user-supplied tip and a one-off recon crawl. Shopify storefront; full catalog pulled from /products.json on 2026-09-16 (1,846 products, 224 of them roses). Columns E-J marked '-' on the basis of that full-catalog check: none of the six previously flagged varieties appears in any product title. Zero matches against Registered trademarks; the only rose-product name matches were against non-active chart entries ('Sultry', blank status, and 'My Girl', To Be Filed) and are held for review rather than recorded as cases. Site is a general nursery (perennials, shrubs, trees) with a substantial rose section, not a rose-only seller. No street address is published on the contact, about, or privacy pages -- only info@redlandranchroses.com -- so the 'Shipped from' value is Estimated from the business name, the 'Deep South Strong'/Fortuniana-rootstock focus, and needs confirmation. Domain registration could not be checked: RDAP/whois endpoints are blocked by this session's network egress policy. Hosting is Shopify (A record 23.227.38.32, in Shopify's 23.227.38.0/24 range; the site's own privacy policy states it is 'powered by Shopify'). Direct access to the site required the domain being allowlisted in the environment on 2026-09-16 -- before that the egress proxy refused CONNECT.",Sheet1
Rose Explosion,https://roseexplosion.com/,"PayPal, web",China,"Admiral® Rose; Piano®
Tantau; Pink O'Hara™; Sophie Rochas ®
Delbard",,Sheet1
Springland Flowers,https://springlandflowers.com/,"Shop, web",,"Modern Art ®; Sophie Rochas ®
Delbard",,Sheet1
Your Roses,https://your-roses.com/,"PayPal, web",China,"Admiral® Rose; Modern Art ®; Pink O'Hara™; Sophie Rochas ®
Delbard",,Sheet1
