row_index,docket_no,link,trademark,status,reg_no,app_ser_no,first_use_date,goods,eu_reg_no,filing_date,registration_date,next_action,owner_breeder,party_selling,status_category,needs_review,needs_review_reasons,source_row
1,93001.001,White O'Hara Bush,White O'Hara,Pending,NYA,99751057,2025-11-01T00:00:00,Live plants; roses,,2026-04-08T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,3
2,93001.002,,Pink O'Hara,Pending,NYA,99751092,2025-11-01T00:00:00,Live plants; roses,,2026-04-08T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,4
,93001.003,,Paul Cezanne,Pending,NYA,98413050,ITU,"Live plants, namely, roses",,2024-02-20T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,?,Pending,False,,5
4,93001.004,Camille Pissaro,Camille Pissarro,Registered,2924694,76510378,44E Application,Live plants and roses,,2003-04-29T00:00:00,2005-02-08T00:00:00,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Registered,False,,6
3,93001.005,,Alexandra David Neel,Pending,NYA,99785515,2025-11-01T00:00:00,Live plants; roses,18699928,2026-04-24T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,7
5,93001.006,Alfred Sisley,Alfred Sisley,Registered,7296593,9733048,2015-02-28T00:00:00,Live plants,18655602,2022-03-25T00:00:00,2024-02-06T00:00:00,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Registered,False,,8
6,93001.007,Cathedral Bells,Cathedral Bells,Registered,7042046,97330484,2021-12-20T00:00:00,Live plants,,2022-05-25T00:00:00,2023-05-02T00:00:00,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Registered,False,,9
7,93001.008,,Chamonix,Pending,NYA,99751108,2025-11-01T00:00:00,Live plants; roses,,2026-04-28T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,10
8,93001.009,Dancing in the Dark,Dancing in the Dark,Registered,7042042,97330474,2018-12-20T00:00:00,Live plants,,2022-03-25T00:00:00,2023-05-02T00:00:00,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Registered,False,,11
9,93001.01,,Fleur de Lumière,Pending,NYA,99751123,2025-11-01T00:00:00,Live plants; roses,,2026-04-08T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,12
10,93001.011,,Garden Julietta Cream,Pending,NYA,99751146,2025-11-01T00:00:00,Live plants; roses,,2026-04-08T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,13
11,93001.012,,Jardin Couture,Pending,NYA,99751166,2025-11-01T00:00:00,Live plants; roses,,2026-04-08T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,14
12,DO NOT FILE,,Julie Andrews,DO NOT FILE,,,,Live plants; roses,,,,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Do Not File,False,,15
13,93001.013,,Marc Chagall,Pending,NYA,99785477,2018-11-30T00:00:00,Live plants; roses,,2026-04-24T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,16
14,93001.014,Maurice Utrillo,Maurice Utrillo,Registered,7296592,97330478,2018-04-30T00:00:00,Live plants,,2022-03-25T00:00:00,2024-02-06T00:00:00,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Registered,False,,17
15,93001.015,,Monsieur,Pending,NYA,99751179,2025-11-01T00:00:00,Live plants; roses,,2026-04-08T00:00:00,NYA,"10/31/26 Reply to Office Action Due
08/10/26 Reply to Office Action Filed",Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,18
16,93001.016,,Montmartre,Pending,NYA,99751206,2025-11-01T00:00:00,Live plants; roses,,2026-04-08T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,19
17,93001.017,Moonlight in Paris,Moonlight in Paris,Registered,7296592,97330478,2018-12-07T00:00:00,Live plants,,2022-03-25T00:00:00,2023-05-02T00:00:00,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Registered,False,,20
18,93001.018,,Opus Noir,Pending,NYA,99751356,2025-11-01T00:00:00,Live plants; roses,,2026-04-08T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,21
19,93001.0189999999,,Pavlova,Pending,NYA,99751222,2025-11-01T00:00:00,Live plants; roses,,2026-04-08T00:00:00,NYA,10/31/26 Reply to Office Action Due,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,22
20,93001.0199999999,,Paul Gauguin,Pending,NYA,99785452,2025-11-01T00:00:00,Live plants; roses,3417541,2026-04-24T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,23
21,93001.0209999999,,Pont des Arts,Pending,NYA,99751240,2025-11-01T00:00:00,Live plants; roses,,2026-04-08T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,24
22,93001.0219999999,,Princeses Astrid de Belgique -- LIVING PERSON,To Be Filed,,,2025-11-01T00:00:00,Live plants; roses,,,,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,To Be Filed,False,,25
24,93001.0229999999,,Rue Saint-Honoré,Pending,NYA,99751265,2025-11-01T00:00:00,Live plants; roses,,2026-04-08T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,26
25,93001.0239999999,,Velours de Nuit,Pending,NYA,99751291,2025-11-01T00:00:00,Live plants; roses,,2026-04-08T00:00:00,NYA,,Société Nouvelle Pépinières et Roseraies Georges Delbard SAS,April & Ashley,Pending,False,,27
1,93002.001,,Trendsetter,Abandoned (Rose Varietal),NYA,98216529,2020-08-25T00:00:00,"Live plants; namely, rose plants",,45209,NYA,,Interplant Roses B.V.,,Abandoned,False,,30
2,93002.002,,Balmoral,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,31
2,93002.003,,J'adore,To Be Filed,NYA,,2025-11-01T00:00:00,,N/A,N/A,NYA,,Interplant Roses B.V.,,To Be Filed,False,,32
3,93002.004,,Bella Trendsetter,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,33
4,93002.005,,Golden Trendsetter,To Be Filed,NYA,,,,N/A,N/A,NYA,,Interplant Roses B.V.,,To Be Filed,False,,34
5,TBD,"Black Velvet

this registration is in force and owned by Flores Del Valle",Black Velvet,Registered,3271481,78320987,44E Application,Link to USPTO,,2003-10-30T00:00:00,2007-07-31T00:00:00,,FLORES DEL VALLE S.A. VALLEFLOR,,Registered,False,,35
6,93002.006,,Blushing Babylon Eyes,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,36
7,93002.007,,Blushing Bisque,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,37
8,93002.008,,Blushing Parasol,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,38
9,93002.009,,Bombastic,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,39
10,93002.01,,Bridal Flow,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,40
11,93002.011,,Symbol,To Be Filed,NYA,,2025-11-01T00:00:00,,N/A,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,41
12,93002.012,,Bridal Shower,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,42
13,93002.013,,Sweet Flow,To Be Filed,NYA,,,,N/A,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,43
14,93002.014,,Golden Mustard,To Be Filed,NYA,,,,N/A,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,44
15,93002.015,,Bridesmaid,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,45
16,93002.016,,Canary Babylon Eyes,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,46
17,93002.017,,Chantilly Lace,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,47
18,93002.019,,Quicksand,Registered,5832043,88173066,2025-11-01T00:00:00,Link to USPTO,N/A,2018-10-29T00:00:00,2019-08-13T00:00:00,,SCEA ROSAPLANTS,,Registered,False,,48
19,93002.02,,Coral Trendsetter,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,49
20,93002.021,only 4 bouquet,Buttercup,To Be Filed,NYA,,,,N/A,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,50
21,93002.022,,Cotton Veil,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,51
22,93002.023,,Gelato,To Be Filed,NYA,,2025-11-01T00:00:00,,N/A,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,52
23,93002.024,,Elegant Lace,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,53
24,93002.025,,Coral Reeva,To Be Filed,NYA,,2025-11-01T00:00:00,,N/A,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,54
25,93002.0259999999,,Euphoria,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,55
26,93002.0269999999,,Fancy Babylon Eyes,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,56
27,93002.0279999997,,Figaro Babylon Eyes,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,57
28,93002.0289999996,,First Look,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,58
